
#还有效的源,#genre#
唐山生活,http://60.2.190.206:4000/rtp/239.253.92.126:6026 -- 0.25 MB/s
唐山生活,http://60.7.56.21:4000/rtp/239.253.92.126:6026 -- 0.00 MB/s
唐山生活,http://60.7.56.33:4000/rtp/239.253.92.126:6026 -- 0.42 MB/s
商务资讯,http://1.83.124.134:8888/rtp/239.112.205.174:5140 -- 0.28 MB/s
商务资讯,http://124.116.170.138:8081/rtp/239.112.205.174:5140 -- 0.27 MB/s
商务资讯,http://219.145.19.161:9999/rtp/239.112.205.174:5140 -- 0.13 MB/s
喀喇沁县电视,http://106.125.156.6:4000/udp/239.29.1.150:5000 -- 0.13 MB/s
喀喇沁县电视,http://106.35.124.72:54022/udp/239.29.1.150:5000 -- 0.29 MB/s
嘉佳卡通,http://111.193.225.151:8888/rtp/239.3.1.147:9268 -- 0.03 MB/s
嘉佳卡通,http://111.194.150.28:8888/rtp/239.3.1.147:9268 -- 0.26 MB/s
嘉佳卡通,http://111.196.130.76:8012/rtp/239.3.1.147:9268 -- 0.02 MB/s
嘉佳卡通,http://111.196.189.12:5555/rtp/239.3.1.147:9268 -- 0.13 MB/s
嘉佳卡通,http://111.199.232.176:8188/rtp/239.3.1.147:9268 -- 0.15 MB/s
嘉佳卡通,http://111.199.237.67:8188/rtp/239.3.1.147:9268 -- 0.19 MB/s
嘉佳卡通,http://114.243.106.86:8888/rtp/239.3.1.147:9268 -- 0.23 MB/s
嘉佳卡通,http://114.244.117.82:8888/rtp/239.3.1.147:9268 -- 0.09 MB/s
嘉佳卡通,http://114.252.149.21:8890/rtp/239.3.1.147:9268 -- 0.25 MB/s
嘉佳卡通,http://114.252.236.205:8000/rtp/239.3.1.147:9268 -- 0.26 MB/s
嘉佳卡通,http://114.253.247.226:4022/rtp/239.3.1.147:9268 -- 0.00 MB/s
嘉佳卡通,http://114.253.76.165:58888/rtp/239.3.1.147:9268 -- 0.08 MB/s
嘉佳卡通,http://114.254.20.116:18888/rtp/239.3.1.147:9268 -- 0.29 MB/s
嘉佳卡通,http://114.254.81.109:2222/rtp/239.3.1.147:9268 -- 0.02 MB/s
嘉佳卡通,http://114.254.81.48:2222/rtp/239.3.1.147:9268 -- 0.08 MB/s
嘉佳卡通,http://114.254.88.162:2222/rtp/239.3.1.147:9268 -- 0.21 MB/s
嘉佳卡通,http://114.254.89.209:2222/rtp/239.3.1.147:9268 -- 0.00 MB/s
嘉佳卡通,http://123.113.180.31:8000/rtp/239.3.1.147:9268 -- 0.29 MB/s
嘉佳卡通,http://123.113.251.39:8888/rtp/239.3.1.147:9268 -- 0.14 MB/s
嘉佳卡通,http://123.114.17.98:4000/rtp/239.3.1.147:9268 -- 0.21 MB/s
嘉佳卡通,http://124.64.235.39:8012/rtp/239.3.1.147:9268 -- 0.27 MB/s
嘉佳卡通,http://125.34.48.61:8890/rtp/239.3.1.147:9268 -- 0.25 MB/s
嘉佳卡通,http://221.219.67.213:5957/rtp/239.3.1.147:9268 -- 0.03 MB/s
嘉佳卡通,http://221.221.219.139:31415/rtp/239.3.1.147:9268 -- 0.28 MB/s
嘉佳卡通,http://221.223.17.137:8888/rtp/239.3.1.147:9268 -- 0.03 MB/s
嘉佳卡通,http://221.223.17.24:58888/rtp/239.3.1.147:9268 -- 0.27 MB/s
嘉佳卡通,http://221.223.20.56:8888/rtp/239.3.1.147:9268 -- 0.12 MB/s
嘉佳卡通,http://221.223.42.10:31027/rtp/239.3.1.147:9268 -- 0.29 MB/s
嘉佳卡通,http://221.223.43.25:31027/rtp/239.3.1.147:9268 -- 0.28 MB/s
嘉佳卡通,http://222.128.169.213:8888/rtp/239.3.1.147:9268 -- 0.22 MB/s
嘉佳卡通,http://222.129.137.223:8888/rtp/239.3.1.147:9268 -- 0.24 MB/s
嘉佳卡通,http://222.129.141.10:8888/rtp/239.3.1.147:9268 -- 0.26 MB/s
嘉佳卡通,http://223.72.25.197:31027/rtp/239.3.1.147:9268 -- 0.15 MB/s
嘉佳卡通高清,http://113.93.28.246:8088/udp/239.77.0.179:5146 -- 0.42 MB/s
嘉佳卡通高清,http://119.131.24.220:9003/udp/239.77.0.179:5146 -- 0.35 MB/s
嘉佳卡通高清,http://120.234.5.28:6000/udp/239.77.0.179:5146 -- 0.04 MB/s
嘉佳卡通高清,http://120.234.5.28:7000/udp/239.77.0.179:5146 -- 0.37 MB/s
嘉佳卡通高清,http://120.234.5.29:6000/udp/239.77.0.179:5146 -- 0.19 MB/s
嘉佳卡通高清,http://120.234.5.29:7000/udp/239.77.0.179:5146 -- 0.22 MB/s
嘉佳卡通高清,http://120.238.99.51:8888/udp/239.77.0.179:5146 -- 0.31 MB/s
嘉佳卡通高清,http://125.89.163.44:8888/udp/239.77.0.179:5146 -- 0.43 MB/s
嘉佳卡通高清,http://14.121.146.64:554/udp/239.77.0.179:5146 -- 0.41 MB/s
嘉佳卡通高清,http://183.45.17.208:60022/udp/239.77.0.179:5146 -- 0.43 MB/s
嘉佳卡通高清,http://59.35.185.47:8188/udp/239.77.0.179:5146 -- 0.42 MB/s
嘉兴新闻,http://115.207.175.160:8888/rtp/233.50.201.163:5140 -- 0.02 MB/s
嘉兴新闻,http://115.207.175.191:8888/rtp/233.50.201.163:5140 -- 0.09 MB/s
嘉兴新闻,http://115.207.175.191:8889/rtp/233.50.201.163:5140 -- 0.23 MB/s
嘉兴新闻,http://115.207.212.219:8888/rtp/233.50.201.163:5140 -- 0.19 MB/s
嘉兴新闻,http://115.225.195.148:8000/rtp/233.50.201.163:5140 -- 0.24 MB/s
嘉兴新闻,http://123.157.31.182:7912/rtp/233.50.201.163:5140 -- 0.00 MB/s
嘉兴新闻,http://125.121.185.172:8500/rtp/233.50.201.163:5140 -- 0.26 MB/s
嘉兴新闻,http://125.125.181.194:4000/rtp/233.50.201.163:5140 -- 0.07 MB/s
嘉兴新闻,http://183.133.104.52:8899/rtp/233.50.201.163:5140 -- 0.00 MB/s
嘉兴新闻,http://183.133.105.174:8899/rtp/233.50.201.163:5140 -- 0.00 MB/s
嘉兴新闻,http://183.133.106.255:8899/rtp/233.50.201.163:5140 -- 0.07 MB/s
嘉兴新闻,http://218.71.60.124:6844/rtp/233.50.201.163:5140 -- 0.20 MB/s
嘉兴新闻,http://220.191.13.4:7200/rtp/233.50.201.163:5140 -- 0.26 MB/s
嘉兴新闻,http://61.130.232.236:8888/rtp/233.50.201.163:5140 -- 0.23 MB/s
嘉定频道,http://112.65.98.250:40999/udp/239.45.3.185:5140 -- 0.12 MB/s
嘉定频道,http://112.65.98.32:40999/udp/239.45.3.185:5140 -- 0.07 MB/s
嘉定频道,http://116.234.11.167:8898/udp/239.45.3.185:5140 -- 0.12 MB/s
嘉定频道,http://180.156.182.124:8888/udp/239.45.3.185:5140 -- 0.15 MB/s
嘉定频道,http://180.158.201.25:1024/udp/239.45.3.185:5140 -- 0.13 MB/s
嘉定频道,http://180.158.201.25:2048/udp/239.45.3.185:5140 -- 0.16 MB/s
嘉定频道,http://58.38.18.167:9200/udp/239.45.3.185:5140 -- 0.12 MB/s
嘉定频道,http://61.169.81.67:6842/udp/239.45.3.185:5140 -- 0.08 MB/s
嘉定频道,http://61.169.81.67:6844/udp/239.45.3.185:5140 -- 0.16 MB/s
噔口电视,http://106.125.156.6:4000/udp/239.29.0.156:5000 -- 0.08 MB/s
噔口电视,http://106.35.124.72:54022/udp/239.29.0.156:5000 -- 0.21 MB/s
四川乡村高清,http://118.116.38.54:27777/udp/239.93.0.52:5140 -- 0.36 MB/s
四川乡村高清,http://171.212.255.133:18889/udp/239.93.0.52:5140 -- 0.39 MB/s
四川乡村高清,http://171.213.136.144:8886/udp/239.93.0.52:5140 -- 0.40 MB/s
四川乡村高清,http://171.213.206.16:8888/udp/239.93.0.52:5140 -- 0.40 MB/s
四川乡村高清,http://171.213.207.208:8888/udp/239.93.0.52:5140 -- 0.09 MB/s
四川乡村高清,http://183.222.206.14:8096/udp/239.93.0.52:5140 -- 0.18 MB/s
四川乡村高清,http://222.212.14.162:1111/udp/239.93.0.52:5140 -- 0.40 MB/s
四川乡村高清,http://222.212.84.190:54123/udp/239.93.0.52:5140 -- 0.40 MB/s
四川卫视,http://118.116.38.54:27777/udp/239.93.0.169:5140 -- 0.36 MB/s
四川卫视,http://171.212.255.133:18889/udp/239.93.0.169:5140 -- 0.28 MB/s
四川卫视,http://171.213.136.144:8886/udp/239.93.0.169:5140 -- 0.40 MB/s
四川卫视,http://171.213.206.16:8888/udp/239.93.0.169:5140 -- 0.41 MB/s
四川卫视,http://171.213.207.208:8888/udp/239.93.0.169:5140 -- 0.11 MB/s
四川卫视,http://183.222.206.14:8096/udp/239.93.0.169:5140 -- 0.24 MB/s
四川卫视,http://222.212.14.162:1111/udp/239.93.0.169:5140 -- 0.40 MB/s
四川卫视高清,http://113.93.28.246:8088/udp/239.77.0.159:5146 -- 0.25 MB/s
四川卫视高清,http://119.131.24.220:9003/udp/239.77.0.159:5146 -- 0.45 MB/s
四川卫视高清,http://125.89.163.44:8888/udp/239.77.0.159:5146 -- 0.29 MB/s
四川卫视高清,http://14.121.146.64:554/udp/239.77.0.159:5146 -- 0.22 MB/s
四川卫视高清,http://183.45.17.208:60022/udp/239.77.0.159:5146 -- 0.41 MB/s
四川卫视高清,http://183.51.190.237:6633/udp/239.77.0.159:5146 -- 0.26 MB/s
四川康巴卫视,http://118.116.38.54:27777/udp/239.93.0.41:5140 -- 0.16 MB/s
四川康巴卫视,http://171.212.255.133:18889/udp/239.93.0.41:5140 -- 0.40 MB/s
四川康巴卫视,http://171.213.136.144:8886/udp/239.93.0.41:5140 -- 0.40 MB/s
四川康巴卫视,http://171.213.206.16:8888/udp/239.93.0.41:5140 -- 0.30 MB/s
四川康巴卫视,http://171.213.207.208:8888/udp/239.93.0.41:5140 -- 0.18 MB/s
四川康巴卫视,http://183.222.206.14:8096/udp/239.93.0.41:5140 -- 0.40 MB/s
四川康巴卫视,http://222.212.14.162:1111/udp/239.93.0.41:5140 -- 0.40 MB/s
四川康巴卫视,http://222.212.84.190:54123/udp/239.93.0.41:5140 -- 0.38 MB/s
四平2,http://175.30.91.24:8888/rtp/239.37.0.131:5540 -- 0.13 MB/s
四海钓鱼,http://123.174.106.11:8888/rtp/239.1.1.111:8111 -- 0.22 MB/s
固安综合,http://121.29.169.33:888/rtp/239.253.93.109:6276 -- 0.04 MB/s
固安综合,http://121.29.215.17:888/rtp/239.253.93.109:6276 -- 0.04 MB/s
固安综合,http://121.29.215.181:888/rtp/239.253.93.109:6276 -- 0.22 MB/s
固安综合,http://60.10.204.102:7171/rtp/239.253.93.109:6276 -- 0.36 MB/s
固安综合,http://60.2.190.206:4000/rtp/239.253.93.109:6276 -- 0.21 MB/s
固安综合,http://60.7.56.21:4000/rtp/239.253.93.109:6276 -- 0.11 MB/s
固安综合,http://60.7.56.33:4000/rtp/239.253.93.109:6276 -- 0.32 MB/s
固镇新闻综合,http://183.164.55.123:5000/rtp/238.1.79.47:4488 -- 0.22 MB/s
固镇新闻综合,http://183.166.57.104:6866/rtp/238.1.79.47:4488 -- 0.27 MB/s
固镇新闻综合,http://60.168.226.105:2000/rtp/238.1.79.47:4488 -- 0.05 MB/s
固镇新闻综合,http://60.168.226.114:2000/rtp/238.1.79.47:4488 -- 0.05 MB/s
固镇新闻综合,http://60.168.226.44:2000/rtp/238.1.79.47:4488 -- 0.00 MB/s
国学,http://111.193.225.151:8888/rtp/239.3.1.77:4120 -- 0.25 MB/s
国学,http://111.194.150.28:8888/rtp/239.3.1.77:4120 -- 0.24 MB/s
国学,http://111.196.130.76:8012/rtp/239.3.1.77:4120 -- 0.14 MB/s
国学,http://111.196.189.12:5555/rtp/239.3.1.77:4120 -- 0.20 MB/s
国学,http://111.199.232.176:8188/rtp/239.3.1.77:4120 -- 0.10 MB/s
国学,http://111.199.237.67:8188/rtp/239.3.1.77:4120 -- 0.25 MB/s
国学,http://114.243.106.86:8888/rtp/239.3.1.77:4120 -- 0.25 MB/s
国学,http://114.244.117.82:8888/rtp/239.3.1.77:4120 -- 0.10 MB/s
国学,http://114.252.149.21:8890/rtp/239.3.1.77:4120 -- 0.14 MB/s
国学,http://114.252.236.205:8000/rtp/239.3.1.77:4120 -- 0.18 MB/s
国学,http://114.253.247.226:4022/rtp/239.3.1.77:4120 -- 0.00 MB/s
国学,http://114.253.76.165:58888/rtp/239.3.1.77:4120 -- 0.05 MB/s
国学,http://114.254.20.116:18888/rtp/239.3.1.77:4120 -- 0.25 MB/s
国学,http://114.254.81.109:2222/rtp/239.3.1.77:4120 -- 0.00 MB/s
国学,http://114.254.81.48:2222/rtp/239.3.1.77:4120 -- 0.07 MB/s
国学,http://114.254.88.162:2222/rtp/239.3.1.77:4120 -- 0.07 MB/s
国学,http://114.254.89.209:2222/rtp/239.3.1.77:4120 -- 0.02 MB/s
国学,http://123.113.180.31:8000/rtp/239.3.1.77:4120 -- 0.22 MB/s
国学,http://123.113.251.39:8888/rtp/239.3.1.77:4120 -- 0.22 MB/s
国学,http://123.114.17.98:4000/rtp/239.3.1.77:4120 -- 0.15 MB/s
国学,http://124.64.235.39:8012/rtp/239.3.1.77:4120 -- 0.11 MB/s
国学,http://125.34.48.61:8890/rtp/239.3.1.77:4120 -- 0.15 MB/s
国学,http://221.219.67.213:5957/rtp/239.3.1.77:4120 -- 0.00 MB/s
国学,http://221.221.219.139:31415/rtp/239.3.1.77:4120 -- 0.25 MB/s
国学,http://221.223.17.137:8888/rtp/239.3.1.77:4120 -- 0.03 MB/s
国学,http://221.223.17.24:58888/rtp/239.3.1.77:4120 -- 0.24 MB/s
国学,http://221.223.20.56:8888/rtp/239.3.1.77:4120 -- 0.01 MB/s
国学,http://221.223.42.10:31027/rtp/239.3.1.77:4120 -- 0.24 MB/s
国学,http://221.223.43.25:31027/rtp/239.3.1.77:4120 -- 0.25 MB/s
国学,http://222.128.169.213:8888/rtp/239.3.1.77:4120 -- 0.25 MB/s
国学,http://222.129.137.223:8888/rtp/239.3.1.77:4120 -- 0.19 MB/s
国学,http://223.72.25.197:31027/rtp/239.3.1.77:4120 -- 0.12 MB/s
国学频道,http://115.60.241.249:2000/rtp/225.1.4.196:1311 -- 0.28 MB/s
国学频道,http://222.141.133.59:8888/rtp/225.1.4.196:1311 -- 0.41 MB/s
国学频道,http://42.237.223.115:8888/rtp/225.1.4.196:1311 -- 0.37 MB/s
圆点生活,http://1.83.124.134:8888/rtp/239.111.205.15:5140 -- 0.41 MB/s
圆点生活,http://124.116.170.138:8081/rtp/239.111.205.15:5140 -- 0.38 MB/s
圆点生活,http://219.145.19.161:9999/rtp/239.111.205.15:5140 -- 0.40 MB/s
土左旗电视,http://106.125.156.6:4000/udp/239.29.0.188:5000 -- 0.06 MB/s
土左旗电视,http://106.35.124.72:54022/udp/239.29.0.188:5000 -- 0.22 MB/s
地理,http://111.193.225.151:8888/rtp/239.3.1.71:4120 -- 0.25 MB/s
地理,http://111.194.150.28:8888/rtp/239.3.1.71:4120 -- 0.24 MB/s
地理,http://111.196.130.76:8012/rtp/239.3.1.71:4120 -- 0.14 MB/s
地理,http://111.196.189.12:5555/rtp/239.3.1.71:4120 -- 0.14 MB/s
地理,http://111.199.232.176:8188/rtp/239.3.1.71:4120 -- 0.25 MB/s
地理,http://111.199.237.67:8188/rtp/239.3.1.71:4120 -- 0.18 MB/s
地理,http://114.243.106.86:8888/rtp/239.3.1.71:4120 -- 0.25 MB/s
地理,http://114.244.117.82:8888/rtp/239.3.1.71:4120 -- 0.10 MB/s
地理,http://114.252.149.21:8890/rtp/239.3.1.71:4120 -- 0.24 MB/s
地理,http://114.252.236.205:8000/rtp/239.3.1.71:4120 -- 0.13 MB/s
地理,http://114.252.238.87:8000/rtp/239.3.1.71:4120 -- 0.22 MB/s
地理,http://114.253.247.226:4022/rtp/239.3.1.71:4120 -- 0.01 MB/s
地理,http://114.253.76.165:58888/rtp/239.3.1.71:4120 -- 0.05 MB/s
地理,http://114.254.20.116:18888/rtp/239.3.1.71:4120 -- 0.25 MB/s
地理,http://114.254.81.109:2222/rtp/239.3.1.71:4120 -- 0.07 MB/s
地理,http://114.254.81.48:2222/rtp/239.3.1.71:4120 -- 0.05 MB/s
地理,http://114.254.88.162:2222/rtp/239.3.1.71:4120 -- 0.03 MB/s
地理,http://114.254.89.209:2222/rtp/239.3.1.71:4120 -- 0.06 MB/s
地理,http://118.116.38.54:27777/udp/239.93.0.200:9052 -- 0.24 MB/s
地理,http://123.113.180.31:8000/rtp/239.3.1.71:4120 -- 0.25 MB/s
地理,http://123.113.251.39:8888/rtp/239.3.1.71:4120 -- 0.24 MB/s
地理,http://123.114.17.98:4000/rtp/239.3.1.71:4120 -- 0.25 MB/s
地理,http://124.64.235.39:8012/rtp/239.3.1.71:4120 -- 0.22 MB/s
地理,http://125.34.48.61:8890/rtp/239.3.1.71:4120 -- 0.06 MB/s
地理,http://171.212.255.133:18889/udp/239.93.0.200:9052 -- 0.25 MB/s
地理,http://171.213.136.144:8886/udp/239.93.0.200:9052 -- 0.25 MB/s
地理,http://171.213.207.208:8888/udp/239.93.0.200:9052 -- 0.02 MB/s
地理,http://183.222.206.14:8096/udp/239.93.0.200:9052 -- 0.07 MB/s
地理,http://221.219.67.213:5957/rtp/239.3.1.71:4120 -- 0.00 MB/s
地理,http://221.221.219.139:31415/rtp/239.3.1.71:4120 -- 0.25 MB/s
地理,http://221.223.17.137:8888/rtp/239.3.1.71:4120 -- 0.02 MB/s
地理,http://221.223.17.24:58888/rtp/239.3.1.71:4120 -- 0.15 MB/s
地理,http://221.223.19.203:58888/rtp/239.3.1.71:4120 -- 0.23 MB/s
地理,http://221.223.20.56:8888/rtp/239.3.1.71:4120 -- 0.09 MB/s
地理,http://221.223.42.10:31027/rtp/239.3.1.71:4120 -- 0.22 MB/s
地理,http://221.223.43.25:31027/rtp/239.3.1.71:4120 -- 0.25 MB/s
地理,http://222.128.169.213:8888/rtp/239.3.1.71:4120 -- 0.25 MB/s
地理,http://222.129.137.223:8888/rtp/239.3.1.71:4120 -- 0.15 MB/s
地理,http://222.212.14.162:1111/udp/239.93.0.200:9052 -- 0.25 MB/s
地理,http://222.212.84.190:54123/udp/239.93.0.200:9052 -- 0.25 MB/s
地理,http://223.72.25.197:31027/rtp/239.3.1.71:4120 -- 0.25 MB/s
城市剧场,http://111.193.225.151:8888/rtp/239.3.1.67:4120 -- 0.11 MB/s
城市剧场,http://111.194.150.28:8888/rtp/239.3.1.67:4120 -- 0.24 MB/s
城市剧场,http://111.196.130.76:8012/rtp/239.3.1.67:4120 -- 0.18 MB/s
城市剧场,http://111.196.189.12:5555/rtp/239.3.1.67:4120 -- 0.01 MB/s
城市剧场,http://111.199.232.176:8188/rtp/239.3.1.67:4120 -- 0.12 MB/s
城市剧场,http://111.199.237.67:8188/rtp/239.3.1.67:4120 -- 0.04 MB/s
城市剧场,http://114.243.106.86:8888/rtp/239.3.1.67:4120 -- 0.25 MB/s
城市剧场,http://114.244.117.82:8888/rtp/239.3.1.67:4120 -- 0.23 MB/s
城市剧场,http://114.252.149.21:8890/rtp/239.3.1.67:4120 -- 0.22 MB/s
城市剧场,http://114.252.236.205:8000/rtp/239.3.1.67:4120 -- 0.25 MB/s
城市剧场,http://114.252.238.87:8000/rtp/239.3.1.67:4120 -- 0.23 MB/s
城市剧场,http://114.253.247.226:4022/rtp/239.3.1.67:4120 -- 0.12 MB/s
城市剧场,http://114.253.76.165:58888/rtp/239.3.1.67:4120 -- 0.23 MB/s
城市剧场,http://114.254.20.116:18888/rtp/239.3.1.67:4120 -- 0.25 MB/s
城市剧场,http://114.254.81.109:2222/rtp/239.3.1.67:4120 -- 0.25 MB/s
城市剧场,http://114.254.81.48:2222/rtp/239.3.1.67:4120 -- 0.23 MB/s
城市剧场,http://114.254.88.162:2222/rtp/239.3.1.67:4120 -- 0.02 MB/s
城市剧场,http://114.254.89.209:2222/rtp/239.3.1.67:4120 -- 0.08 MB/s
城市剧场,http://123.113.180.31:8000/rtp/239.3.1.67:4120 -- 0.25 MB/s
城市剧场,http://123.113.251.39:8888/rtp/239.3.1.67:4120 -- 0.23 MB/s
城市剧场,http://123.114.17.98:4000/rtp/239.3.1.67:4120 -- 0.02 MB/s
城市剧场,http://124.64.235.39:8012/rtp/239.3.1.67:4120 -- 0.12 MB/s
城市剧场,http://125.34.48.61:8890/rtp/239.3.1.67:4120 -- 0.25 MB/s
城市剧场,http://221.219.67.213:5957/rtp/239.3.1.67:4120 -- 0.13 MB/s
城市剧场,http://221.221.219.139:31415/rtp/239.3.1.67:4120 -- 0.25 MB/s
城市剧场,http://221.223.17.137:8888/rtp/239.3.1.67:4120 -- 0.05 MB/s
城市剧场,http://221.223.17.24:58888/rtp/239.3.1.67:4120 -- 0.25 MB/s
城市剧场,http://221.223.19.203:58888/rtp/239.3.1.67:4120 -- 0.06 MB/s
城市剧场,http://221.223.20.56:8888/rtp/239.3.1.67:4120 -- 0.21 MB/s
城市剧场,http://221.223.42.10:31027/rtp/239.3.1.67:4120 -- 0.25 MB/s
城市剧场,http://221.223.43.25:31027/rtp/239.3.1.67:4120 -- 0.04 MB/s
城市剧场,http://222.128.169.213:8888/rtp/239.3.1.67:4120 -- 0.21 MB/s
城市剧场,http://222.129.137.223:8888/rtp/239.3.1.67:4120 -- 0.14 MB/s
城市剧场,http://222.129.141.10:8888/rtp/239.3.1.67:4120 -- 0.25 MB/s
城市剧场,http://223.72.25.197:31027/rtp/239.3.1.67:4120 -- 0.26 MB/s
墨宝,http://111.193.225.151:8888/rtp/239.3.1.83:4120 -- 0.07 MB/s
墨宝,http://111.194.150.28:8888/rtp/239.3.1.83:4120 -- 0.23 MB/s
墨宝,http://111.196.130.76:8012/rtp/239.3.1.83:4120 -- 0.14 MB/s
墨宝,http://111.196.189.12:5555/rtp/239.3.1.83:4120 -- 0.05 MB/s
墨宝,http://111.199.232.176:8188/rtp/239.3.1.83:4120 -- 0.06 MB/s
墨宝,http://111.199.237.67:8188/rtp/239.3.1.83:4120 -- 0.07 MB/s
墨宝,http://114.243.106.86:8888/rtp/239.3.1.83:4120 -- 0.25 MB/s
墨宝,http://114.244.117.82:8888/rtp/239.3.1.83:4120 -- 0.24 MB/s
墨宝,http://114.252.149.21:8890/rtp/239.3.1.83:4120 -- 0.25 MB/s
墨宝,http://114.252.236.205:8000/rtp/239.3.1.83:4120 -- 0.12 MB/s
墨宝,http://114.253.247.226:4022/rtp/239.3.1.83:4120 -- 0.20 MB/s
墨宝,http://114.254.20.116:18888/rtp/239.3.1.83:4120 -- 0.25 MB/s
墨宝,http://114.254.81.109:2222/rtp/239.3.1.83:4120 -- 0.00 MB/s
墨宝,http://114.254.81.48:2222/rtp/239.3.1.83:4120 -- 0.18 MB/s
墨宝,http://114.254.88.162:2222/rtp/239.3.1.83:4120 -- 0.01 MB/s
墨宝,http://114.254.89.209:2222/rtp/239.3.1.83:4120 -- 0.24 MB/s
墨宝,http://118.116.38.54:27777/udp/239.93.0.215:9132 -- 0.24 MB/s
墨宝,http://123.113.180.31:8000/rtp/239.3.1.83:4120 -- 0.25 MB/s
墨宝,http://123.113.251.39:8888/rtp/239.3.1.83:4120 -- 0.24 MB/s
墨宝,http://123.114.17.98:4000/rtp/239.3.1.83:4120 -- 0.03 MB/s
墨宝,http://124.64.235.39:8012/rtp/239.3.1.83:4120 -- 0.13 MB/s
墨宝,http://125.34.48.61:8890/rtp/239.3.1.83:4120 -- 0.22 MB/s
墨宝,http://140.250.83.219:65235/rtp/239.21.1.130:5002 -- 0.12 MB/s
墨宝,http://171.212.255.133:18889/udp/239.93.0.215:9132 -- 0.20 MB/s
墨宝,http://171.213.136.144:8886/udp/239.93.0.215:9132 -- 0.25 MB/s
墨宝,http://171.213.206.16:8888/udp/239.93.0.215:9132 -- 0.24 MB/s
墨宝,http://171.213.207.208:8888/udp/239.93.0.215:9132 -- 0.08 MB/s
墨宝,http://182.47.200.64:6777/rtp/239.21.1.130:5002 -- 0.24 MB/s
墨宝,http://183.222.206.14:8096/udp/239.93.0.215:9132 -- 0.14 MB/s
墨宝,http://221.219.67.213:5957/rtp/239.3.1.83:4120 -- 0.00 MB/s
墨宝,http://221.221.219.139:31415/rtp/239.3.1.83:4120 -- 0.25 MB/s
墨宝,http://221.223.17.137:8888/rtp/239.3.1.83:4120 -- 0.03 MB/s
墨宝,http://221.223.17.24:58888/rtp/239.3.1.83:4120 -- 0.22 MB/s
墨宝,http://221.223.19.203:58888/rtp/239.3.1.83:4120 -- 0.25 MB/s
墨宝,http://221.223.20.56:8888/rtp/239.3.1.83:4120 -- 0.05 MB/s
墨宝,http://221.223.42.10:31027/rtp/239.3.1.83:4120 -- 0.15 MB/s
墨宝,http://221.223.43.25:31027/rtp/239.3.1.83:4120 -- 0.02 MB/s
墨宝,http://222.128.169.213:8888/rtp/239.3.1.83:4120 -- 0.22 MB/s
墨宝,http://222.129.137.223:8888/rtp/239.3.1.83:4120 -- 0.24 MB/s
墨宝,http://222.129.141.10:8888/rtp/239.3.1.83:4120 -- 0.12 MB/s
墨宝,http://222.212.14.162:1111/udp/239.93.0.215:9132 -- 0.25 MB/s
墨宝,http://223.72.25.197:31027/rtp/239.3.1.83:4120 -- 0.20 MB/s
夏津公共,http://140.250.83.219:65235/rtp/239.21.1.102:5002 -- 0.25 MB/s
夏津公共,http://182.47.200.64:6777/rtp/239.21.1.102:5002 -- 0.42 MB/s
夏津综合,http://140.250.83.219:65235/rtp/239.21.1.106:5002 -- 0.24 MB/s
多伦电视,http://106.125.156.6:4000/udp/239.29.0.155:5000 -- 0.00 MB/s
大厂融媒,http://120.6.2.177:51888/rtp/239.253.92.253:6244 -- 0.25 MB/s
大厂融媒,http://121.29.169.33:888/rtp/239.253.92.253:6244 -- 0.19 MB/s
大厂融媒,http://121.29.215.124:888/rtp/239.253.92.253:6244 -- 0.13 MB/s
大厂融媒,http://121.29.215.17:888/rtp/239.253.92.253:6244 -- 0.40 MB/s
大厂融媒,http://121.29.215.181:888/rtp/239.253.92.253:6244 -- 0.24 MB/s
大厂融媒,http://60.10.204.102:7171/rtp/239.253.92.253:6244 -- 0.25 MB/s
大厂融媒,http://60.7.56.21:4000/rtp/239.253.92.253:6244 -- 0.24 MB/s
大厂融媒,http://60.7.56.33:4000/rtp/239.253.92.253:6244 -- 0.10 MB/s
大同教育HD,http://116.179.130.2:6000/rtp/226.0.2.232:9772 -- 0.00 MB/s
大同教育HD,http://116.179.130.2:6001/rtp/226.0.2.232:9772 -- 0.41 MB/s
大同教育HD,http://118.79.113.116:6000/rtp/226.0.2.232:9772 -- 0.36 MB/s
大同教育HD,http://118.79.113.116:6001/rtp/226.0.2.232:9772 -- 0.24 MB/s
大同教育HD,http://171.117.140.167:8085/rtp/226.0.2.232:9772 -- 0.04 MB/s
大同教育HD,http://171.119.205.146:6000/rtp/226.0.2.232:9772 -- 0.37 MB/s
大同教育HD,http://171.119.205.146:6001/rtp/226.0.2.232:9772 -- 0.42 MB/s
大同教育HD,http://171.120.201.221:8082/rtp/226.0.2.232:9772 -- 0.00 MB/s
大同教育HD,http://171.120.201.221:8083/rtp/226.0.2.232:9772 -- 0.42 MB/s
大同教育HD,http://171.120.201.221:8084/rtp/226.0.2.232:9772 -- 0.42 MB/s
大同教育HD,http://171.120.201.221:8085/rtp/226.0.2.232:9772 -- 0.42 MB/s
大同教育HD,http://171.120.202.40:8085/rtp/226.0.2.232:9772 -- 0.40 MB/s
大同教育HD,http://171.122.20.33:8085/rtp/226.0.2.232:9772 -- 0.36 MB/s
大同教育HD,http://171.126.104.62:8888/rtp/226.0.2.232:9772 -- 0.41 MB/s
大同教育HD,http://183.184.207.123:8085/rtp/226.0.2.232:9772 -- 0.38 MB/s
