
#天津,#genre#
山西影视HD,http://171.117.143.232:8084/rtp/226.0.2.237:9808 -- 0.11 MB/s
山西影视HD,http://171.117.247.141:8083/rtp/226.0.2.237:9808 -- 0.39 MB/s
山西影视HD,http://171.117.75.115:8083/rtp/226.0.2.237:9808 -- 0.44 MB/s
山西影视HD,http://171.118.210.23:8082/rtp/226.0.2.237:9808 -- 0.22 MB/s
山西影视HD,http://171.124.108.149:8083/rtp/226.0.2.237:9808 -- 0.37 MB/s
山西影视HD,http://171.117.143.232:8083/rtp/226.0.2.237:9808 -- 0.41 MB/s
山西影视HD,http://118.81.199.231:8084/rtp/226.0.2.237:9808 -- 0.41 MB/s
山西影视HD,http://171.117.247.141:8084/rtp/226.0.2.237:9808 -- 0.43 MB/s
山西影视HD,http://183.185.64.161:8084/rtp/226.0.2.237:9808 -- 0.37 MB/s
山西影视HD,http://183.184.60.177:8083/rtp/226.0.2.237:9808 -- 0.04 MB/s
山西影视HD,http://118.81.49.137:8083/rtp/226.0.2.237:9808 -- 0.29 MB/s
山西影视HD,http://60.220.167.247:8083/rtp/226.0.2.237:9808 -- 0.37 MB/s
山西影视HD,http://171.117.74.234:8083/rtp/226.0.2.237:9808 -- 0.21 MB/s
山西文体生活,http://211.90.95.177:8084/rtp/226.0.2.190:9432 -- 0.29 MB/s
山西文体生活,http://60.220.167.247:8084/rtp/226.0.2.190:9432 -- 0.29 MB/s
山西文体生活,http://118.81.49.137:8083/rtp/226.0.2.190:9432 -- 0.04 MB/s
山西文体生活,http://60.220.167.83:8084/rtp/226.0.2.190:9432 -- 0.27 MB/s
山西文体生活,http://171.117.74.234:8084/rtp/226.0.2.190:9432 -- 0.26 MB/s
山西文体生活,http://171.120.195.48:8084/rtp/226.0.2.190:9432 -- 0.30 MB/s
山西文体生活,http://61.134.214.115:8084/rtp/226.0.2.190:9432 -- 0.28 MB/s
山西文体生活,http://171.118.210.23:8082/rtp/226.0.2.190:9432 -- 0.25 MB/s
山西文体生活,http://61.134.214.115:8082/rtp/226.0.2.190:9432 -- 0.30 MB/s
山西文体生活,http://171.117.75.115:8083/rtp/226.0.2.190:9432 -- 0.29 MB/s
山西文体生活,http://118.81.49.137:8084/rtp/226.0.2.190:9432 -- 0.05 MB/s
山西文体生活,http://60.220.167.247:8083/rtp/226.0.2.190:9432 -- 0.30 MB/s
山西文体生活,http://171.120.56.175:8084/rtp/226.0.2.190:9432 -- 0.29 MB/s
山西文体生活,http://183.191.209.53:8084/rtp/226.0.2.190:9432 -- 0.30 MB/s
山西文体生活,http://61.134.214.115:8083/rtp/226.0.2.190:9432 -- 0.30 MB/s
山西文体生活,http://183.191.209.53:8083/rtp/226.0.2.190:9432 -- 0.29 MB/s
山西文体生活,http://171.120.195.48:8083/rtp/226.0.2.190:9432 -- 0.29 MB/s
山西文体生活,http://171.117.74.234:8083/rtp/226.0.2.190:9432 -- 0.27 MB/s
山西文体生活,http://118.81.199.231:8083/rtp/226.0.2.190:9432 -- 0.29 MB/s
山西文体生活,http://171.120.195.48:8082/rtp/226.0.2.190:9432 -- 0.21 MB/s
山西文体生活,http://183.191.227.128:8084/rtp/226.0.2.190:9432 -- 0.30 MB/s
山西文体生活,http://183.185.175.237:8084/rtp/226.0.2.190:9432 -- 0.05 MB/s
山西文体生活,http://171.120.56.175:8083/rtp/226.0.2.190:9432 -- 0.29 MB/s
山西文体生活,http://171.117.143.232:8084/rtp/226.0.2.190:9432 -- 0.30 MB/s
山西文体生活,http://183.185.66.46:8083/rtp/226.0.2.190:9432 -- 0.05 MB/s
山西文体生活,http://183.191.227.128:8083/rtp/226.0.2.190:9432 -- 0.26 MB/s
山西文体生活,http://60.220.167.83:8083/rtp/226.0.2.190:9432 -- 0.30 MB/s
山西文体生活,http://118.81.199.231:8084/rtp/226.0.2.190:9432 -- 0.09 MB/s
山西文体生活,http://183.185.64.161:8082/rtp/226.0.2.190:9432 -- 0.00 MB/s
山西文体生活,http://60.220.167.33:8083/rtp/226.0.2.190:9432 -- 0.30 MB/s
山西文体生活,http://171.124.108.149:8083/rtp/226.0.2.190:9432 -- 0.29 MB/s
山西文体生活,http://171.124.108.149:8084/rtp/226.0.2.190:9432 -- 0.28 MB/s
山西文体生活,http://60.220.167.138:8084/rtp/226.0.2.190:9432 -- 0.29 MB/s
山西文体生活,http://211.90.95.177:8083/rtp/226.0.2.190:9432 -- 0.29 MB/s
山西文体生活,http://60.220.167.33:8084/rtp/226.0.2.190:9432 -- 0.26 MB/s
山西文体生活,http://171.120.56.175:8082/rtp/226.0.2.190:9432 -- 0.26 MB/s
山西文体生活,http://60.220.167.138:8083/rtp/226.0.2.190:9432 -- 0.27 MB/s
山西文体生活,http://183.184.60.177:8083/rtp/226.0.2.190:9432 -- 0.02 MB/s
山西文体生活,http://171.117.75.115:8084/rtp/226.0.2.190:9432 -- 0.30 MB/s
山西文体生活,http://171.117.247.141:8083/rtp/226.0.2.190:9432 -- 0.26 MB/s
山西文体生活,http://211.90.95.177:8082/rtp/226.0.2.190:9432 -- 0.29 MB/s
山西文体生活HD,http://171.117.247.141:8084/rtp/226.0.2.16:8040 -- 0.34 MB/s
山西文体生活HD,http://183.191.227.128:8084/rtp/226.0.2.16:8040 -- 0.43 MB/s
山西文体生活HD,http://171.120.195.48:8082/rtp/226.0.2.16:8040 -- 0.24 MB/s
山西文体生活HD,http://171.117.143.232:8083/rtp/226.0.2.16:8040 -- 0.42 MB/s
山西文体生活HD,http://60.220.167.33:8084/rtp/226.0.2.16:8040 -- 0.42 MB/s
山西文体生活HD,http://61.134.214.115:8084/rtp/226.0.2.16:8040 -- 0.38 MB/s
山西文体生活HD,http://61.134.214.115:8083/rtp/226.0.2.16:8040 -- 0.38 MB/s
山西文体生活HD,http://60.220.167.247:8084/rtp/226.0.2.16:8040 -- 0.40 MB/s
山西文体生活HD,http://60.220.167.247:8083/rtp/226.0.2.16:8040 -- 0.39 MB/s
山西文体生活HD,http://183.185.175.237:8084/rtp/226.0.2.16:8040 -- 0.39 MB/s
山西文体生活HD,http://118.81.199.231:8083/rtp/226.0.2.16:8040 -- 0.11 MB/s
山西文体生活HD,http://60.220.167.33:8083/rtp/226.0.2.16:8040 -- 0.41 MB/s
山西文体生活HD,http://171.118.210.23:8083/rtp/226.0.2.16:8040 -- 0.29 MB/s
山西文体生活HD,http://171.118.210.23:8084/rtp/226.0.2.16:8040 -- 0.38 MB/s
山西文体生活HD,http://118.81.49.137:8084/rtp/226.0.2.16:8040 -- 0.05 MB/s
山西文体生活HD,http://171.117.75.115:8084/rtp/226.0.2.16:8040 -- 0.43 MB/s
山西文体生活HD,http://183.185.64.161:8082/rtp/226.0.2.16:8040 -- 0.00 MB/s
山西文体生活HD,http://171.124.108.149:8083/rtp/226.0.2.16:8040 -- 0.38 MB/s
山西文体生活HD,http://183.191.209.53:8084/rtp/226.0.2.16:8040 -- 0.38 MB/s
山西文体生活HD,http://60.220.167.83:8084/rtp/226.0.2.16:8040 -- 0.21 MB/s
山西文体生活HD,http://118.81.49.137:8083/rtp/226.0.2.16:8040 -- 0.05 MB/s
山西文体生活HD,http://60.220.167.138:8084/rtp/226.0.2.16:8040 -- 0.24 MB/s
山西文体生活HD,http://118.81.199.231:8084/rtp/226.0.2.16:8040 -- 0.40 MB/s
山西文体生活HD,http://60.220.167.138:8083/rtp/226.0.2.16:8040 -- 0.22 MB/s
山西文体生活HD,http://171.117.143.232:8084/rtp/226.0.2.16:8040 -- 0.31 MB/s
山西文体生活HD,http://171.120.195.48:8083/rtp/226.0.2.16:8040 -- 0.39 MB/s
山西文体生活HD,http://171.117.75.115:8083/rtp/226.0.2.16:8040 -- 0.34 MB/s
山西文体生活HD,http://171.120.195.48:8084/rtp/226.0.2.16:8040 -- 0.30 MB/s
山西文体生活HD,http://211.90.95.177:8084/rtp/226.0.2.16:8040 -- 0.41 MB/s
山西文体生活HD,http://183.191.209.53:8083/rtp/226.0.2.16:8040 -- 0.42 MB/s
山西文体生活HD,http://171.118.210.23:8082/rtp/226.0.2.16:8040 -- 0.20 MB/s
山西文体生活HD,http://171.120.56.175:8083/rtp/226.0.2.16:8040 -- 0.38 MB/s
山西文体生活HD,http://60.220.167.83:8083/rtp/226.0.2.16:8040 -- 0.24 MB/s
山西文体生活HD,http://171.117.247.141:8083/rtp/226.0.2.16:8040 -- 0.17 MB/s
山西文体生活HD,http://211.90.95.177:8082/rtp/226.0.2.16:8040 -- 0.42 MB/s
山西文体生活HD,http://183.191.227.128:8082/rtp/226.0.2.16:8040 -- 0.12 MB/s
山西文体生活HD,http://211.90.95.177:8083/rtp/226.0.2.16:8040 -- 0.39 MB/s
山西文体生活HD,http://171.120.56.175:8084/rtp/226.0.2.16:8040 -- 0.24 MB/s
山西文体生活HD,http://61.134.214.115:8082/rtp/226.0.2.16:8040 -- 0.43 MB/s
山西文体生活HD,http://171.124.108.149:8084/rtp/226.0.2.16:8040 -- 0.37 MB/s
山西文体生活HD,http://171.120.56.175:8082/rtp/226.0.2.16:8040 -- 0.22 MB/s
山西社会与法治,http://118.81.49.137:8084/rtp/226.0.2.15:8032 -- 0.26 MB/s
山西社会与法治,http://171.117.75.115:8083/rtp/226.0.2.15:8032 -- 0.29 MB/s
山西社会与法治,http://171.124.108.149:8083/rtp/226.0.2.15:8032 -- 0.28 MB/s
山西社会与法治,http://171.118.210.23:8083/rtp/226.0.2.15:8032 -- 0.20 MB/s
山西社会与法治,http://60.220.167.33:8083/rtp/226.0.2.15:8032 -- 0.22 MB/s
山西社会与法治,http://61.134.214.115:8082/rtp/226.0.2.15:8032 -- 0.30 MB/s
山西社会与法治,http://211.90.95.177:8082/rtp/226.0.2.15:8032 -- 0.30 MB/s
山西社会与法治,http://118.81.199.231:8084/rtp/226.0.2.15:8032 -- 0.30 MB/s
山西社会与法治,http://171.117.75.115:8084/rtp/226.0.2.15:8032 -- 0.29 MB/s
山西社会与法治,http://171.118.210.23:8082/rtp/226.0.2.15:8032 -- 0.09 MB/s
山西社会与法治,http://171.117.74.234:8084/rtp/226.0.2.15:8032 -- 0.24 MB/s
山西社会与法治,http://171.117.143.232:8083/rtp/226.0.2.15:8032 -- 0.11 MB/s
山西社会与法治,http://118.81.49.137:8083/rtp/226.0.2.15:8032 -- 0.39 MB/s
山西社会与法治,http://60.220.167.138:8084/rtp/226.0.2.15:8032 -- 0.30 MB/s
山西社会与法治,http://183.191.209.53:8084/rtp/226.0.2.15:8032 -- 0.29 MB/s
山西社会与法治,http://171.124.108.149:8084/rtp/226.0.2.15:8032 -- 0.29 MB/s
山西社会与法治,http://183.191.227.128:8084/rtp/226.0.2.15:8032 -- 0.12 MB/s
山西社会与法治,http://171.117.143.232:8084/rtp/226.0.2.15:8032 -- 0.30 MB/s
山西社会与法治,http://183.191.227.128:8082/rtp/226.0.2.15:8032 -- 0.21 MB/s
山西社会与法治,http://183.184.60.177:8083/rtp/226.0.2.15:8032 -- 0.30 MB/s
山西社会与法治,http://60.220.167.247:8083/rtp/226.0.2.15:8032 -- 0.02 MB/s
山西社会与法治,http://221.205.18.162:8083/rtp/226.0.2.15:8032 -- 0.02 MB/s
山西社会与法治,http://60.220.167.83:8083/rtp/226.0.2.15:8032 -- 0.30 MB/s
山西社会与法治,http://61.134.214.115:8084/rtp/226.0.2.15:8032 -- 0.30 MB/s
山西社会与法治,http://211.90.95.177:8083/rtp/226.0.2.15:8032 -- 0.30 MB/s
山西社会与法治,http://171.120.56.175:8084/rtp/226.0.2.15:8032 -- 0.30 MB/s
山西社会与法治,http://171.117.74.234:8083/rtp/226.0.2.15:8032 -- 0.26 MB/s
山西社会与法治,http://60.220.167.138:8083/rtp/226.0.2.15:8032 -- 0.28 MB/s
山西社会与法治,http://171.120.195.48:8084/rtp/226.0.2.15:8032 -- 0.29 MB/s
山西社会与法治,http://171.120.56.175:8082/rtp/226.0.2.15:8032 -- 0.20 MB/s
山西社会与法治,http://171.120.195.48:8083/rtp/226.0.2.15:8032 -- 0.42 MB/s
山西社会与法治,http://171.120.195.48:8082/rtp/226.0.2.15:8032 -- 0.24 MB/s
山西社会与法治,http://211.90.95.177:8084/rtp/226.0.2.15:8032 -- 0.30 MB/s
山西社会与法治,http://171.117.247.141:8083/rtp/226.0.2.15:8032 -- 0.29 MB/s
山西社会与法治,http://171.118.210.23:8084/rtp/226.0.2.15:8032 -- 0.30 MB/s
山西社会与法治,http://171.120.56.175:8083/rtp/226.0.2.15:8032 -- 0.30 MB/s
山西社会与法治,http://60.220.167.33:8084/rtp/226.0.2.15:8032 -- 0.12 MB/s
山西社会与法治,http://118.81.199.231:8083/rtp/226.0.2.15:8032 -- 0.27 MB/s
山西社会与法治,http://171.117.247.141:8084/rtp/226.0.2.15:8032 -- 0.29 MB/s
山西社会与法治,http://60.220.167.83:8084/rtp/226.0.2.15:8032 -- 0.30 MB/s
山西社会与法治,http://183.191.209.53:8083/rtp/226.0.2.15:8032 -- 0.29 MB/s
山西社会与法治,http://61.134.214.115:8083/rtp/226.0.2.15:8032 -- 0.30 MB/s
山西社会与法治,http://60.220.167.247:8084/rtp/226.0.2.15:8032 -- 0.29 MB/s
山西社会与法治,http://183.185.66.46:8083/rtp/226.0.2.15:8032 -- 0.03 MB/s
山西社会与法治HD,http://171.120.56.175:8082/rtp/226.0.2.238:9816 -- 0.24 MB/s
山西社会与法治HD,http://171.120.56.175:8084/rtp/226.0.2.238:9816 -- 0.24 MB/s
山西社会与法治HD,http://221.205.18.162:8083/rtp/226.0.2.238:9816 -- 0.07 MB/s
山西社会与法治HD,http://171.120.195.48:8084/rtp/226.0.2.238:9816 -- 0.33 MB/s
山西社会与法治HD,http://60.220.167.33:8084/rtp/226.0.2.238:9816 -- 0.23 MB/s
山西社会与法治HD,http://60.220.167.247:8083/rtp/226.0.2.238:9816 -- 0.21 MB/s
山西社会与法治HD,http://171.117.143.232:8083/rtp/226.0.2.238:9816 -- 0.35 MB/s
山西社会与法治HD,http://171.124.108.149:8084/rtp/226.0.2.238:9816 -- 0.36 MB/s
山西社会与法治HD,http://183.191.209.53:8083/rtp/226.0.2.238:9816 -- 0.42 MB/s
山西社会与法治HD,http://118.81.199.231:8084/rtp/226.0.2.238:9816 -- 0.38 MB/s
山西社会与法治HD,http://60.220.167.83:8083/rtp/226.0.2.238:9816 -- 0.41 MB/s
山西社会与法治HD,http://171.124.108.149:8083/rtp/226.0.2.238:9816 -- 0.34 MB/s
山西社会与法治HD,http://171.117.74.234:8083/rtp/226.0.2.238:9816 -- 0.17 MB/s
山西社会与法治HD,http://171.120.56.175:8083/rtp/226.0.2.238:9816 -- 0.28 MB/s
山西社会与法治HD,http://171.117.143.232:8084/rtp/226.0.2.238:9816 -- 0.38 MB/s
山西社会与法治HD,http://211.90.95.177:8082/rtp/226.0.2.238:9816 -- 0.43 MB/s
山西社会与法治HD,http://221.205.18.162:8084/rtp/226.0.2.238:9816 -- 0.12 MB/s
山西社会与法治HD,http://183.185.175.237:8084/rtp/226.0.2.238:9816 -- 0.31 MB/s
山西社会与法治HD,http://183.184.60.177:8084/rtp/226.0.2.238:9816 -- 0.24 MB/s
山西社会与法治HD,http://61.134.214.115:8084/rtp/226.0.2.238:9816 -- 0.43 MB/s
山西社会与法治HD,http://183.191.209.53:8084/rtp/226.0.2.238:9816 -- 0.42 MB/s
山西社会与法治HD,http://171.120.195.48:8082/rtp/226.0.2.238:9816 -- 0.24 MB/s
山西社会与法治HD,http://211.90.95.177:8083/rtp/226.0.2.238:9816 -- 0.43 MB/s
山西社会与法治HD,http://171.117.247.141:8084/rtp/226.0.2.238:9816 -- 0.42 MB/s
山西社会与法治HD,http://60.220.167.83:8084/rtp/226.0.2.238:9816 -- 0.43 MB/s
山西社会与法治HD,http://171.117.75.115:8083/rtp/226.0.2.238:9816 -- 0.42 MB/s
山西社会与法治HD,http://171.118.210.23:8083/rtp/226.0.2.238:9816 -- 0.43 MB/s
山西社会与法治HD,http://183.191.227.128:8082/rtp/226.0.2.238:9816 -- 0.24 MB/s
山西社会与法治HD,http://60.220.167.138:8084/rtp/226.0.2.238:9816 -- 0.41 MB/s
山西社会与法治HD,http://60.220.167.33:8083/rtp/226.0.2.238:9816 -- 0.26 MB/s
山西社会与法治HD,http://171.120.195.48:8083/rtp/226.0.2.238:9816 -- 0.44 MB/s
山西社会与法治HD,http://171.117.75.115:8084/rtp/226.0.2.238:9816 -- 0.43 MB/s
山西社会与法治HD,http://60.220.167.247:8084/rtp/226.0.2.238:9816 -- 0.40 MB/s
山西社会与法治HD,http://171.117.247.141:8083/rtp/226.0.2.238:9816 -- 0.42 MB/s
山西社会与法治HD,http://211.90.95.177:8084/rtp/226.0.2.238:9816 -- 0.44 MB/s
山西社会与法治HD,http://60.220.167.138:8083/rtp/226.0.2.238:9816 -- 0.38 MB/s
山西社会与法治HD,http://118.81.49.137:8083/rtp/226.0.2.238:9816 -- 0.44 MB/s
山西社会与法治HD,http://171.118.210.23:8084/rtp/226.0.2.238:9816 -- 0.33 MB/s
山西社会与法治HD,http://118.81.199.231:8083/rtp/226.0.2.238:9816 -- 0.43 MB/s
山西社会与法治HD,http://61.134.214.115:8082/rtp/226.0.2.238:9816 -- 0.44 MB/s
山西经济与科技,http://171.120.195.48:8082/rtp/226.0.2.13:8016 -- 0.30 MB/s
山西经济与科技,http://60.220.167.247:8084/rtp/226.0.2.13:8016 -- 0.27 MB/s
山西经济与科技,http://183.185.66.46:8083/rtp/226.0.2.13:8016 -- 0.15 MB/s
山西经济与科技,http://171.117.75.115:8084/rtp/226.0.2.13:8016 -- 0.29 MB/s
山西经济与科技,http://60.220.167.83:8083/rtp/226.0.2.13:8016 -- 0.14 MB/s
山西经济与科技,http://60.220.167.33:8083/rtp/226.0.2.13:8016 -- 0.27 MB/s
山西经济与科技,http://211.90.95.177:8083/rtp/226.0.2.13:8016 -- 0.29 MB/s
山西经济与科技,http://118.81.49.137:8083/rtp/226.0.2.13:8016 -- 0.30 MB/s
山西经济与科技,http://118.81.199.231:8083/rtp/226.0.2.13:8016 -- 0.38 MB/s
山西经济与科技,http://171.117.143.232:8084/rtp/226.0.2.13:8016 -- 0.30 MB/s
山西经济与科技,http://171.120.195.48:8083/rtp/226.0.2.13:8016 -- 0.28 MB/s
山西经济与科技,http://60.220.167.138:8084/rtp/226.0.2.13:8016 -- 0.30 MB/s
山西经济与科技,http://183.185.175.237:8084/rtp/226.0.2.13:8016 -- 0.06 MB/s
山西经济与科技,http://171.117.75.115:8083/rtp/226.0.2.13:8016 -- 0.23 MB/s
山西经济与科技,http://171.118.210.23:8084/rtp/226.0.2.13:8016 -- 0.28 MB/s
山西经济与科技,http://183.184.60.177:8084/rtp/226.0.2.13:8016 -- 0.30 MB/s
山西经济与科技,http://171.120.195.48:8084/rtp/226.0.2.13:8016 -- 0.27 MB/s
山西经济与科技,http://61.134.214.115:8084/rtp/226.0.2.13:8016 -- 0.29 MB/s
山西经济与科技,http://118.81.199.231:8084/rtp/226.0.2.13:8016 -- 0.30 MB/s
山西经济与科技,http://171.120.56.175:8083/rtp/226.0.2.13:8016 -- 0.29 MB/s
山西经济与科技,http://171.117.143.232:8083/rtp/226.0.2.13:8016 -- 0.10 MB/s
山西经济与科技,http://60.220.167.33:8084/rtp/226.0.2.13:8016 -- 0.02 MB/s
山西经济与科技,http://61.134.214.115:8082/rtp/226.0.2.13:8016 -- 0.30 MB/s
山西经济与科技,http://171.118.210.23:8082/rtp/226.0.2.13:8016 -- 0.08 MB/s
山西经济与科技,http://171.117.247.141:8083/rtp/226.0.2.13:8016 -- 0.27 MB/s
山西经济与科技,http://118.81.49.137:8084/rtp/226.0.2.13:8016 -- 0.24 MB/s
山西经济与科技,http://171.117.74.234:8083/rtp/226.0.2.13:8016 -- 0.30 MB/s
山西经济与科技,http://183.191.209.53:8084/rtp/226.0.2.13:8016 -- 0.30 MB/s
山西经济与科技,http://183.191.209.53:8083/rtp/226.0.2.13:8016 -- 0.30 MB/s
山西经济与科技,http://60.220.167.138:8083/rtp/226.0.2.13:8016 -- 0.28 MB/s
山西经济与科技,http://183.185.64.161:8083/rtp/226.0.2.13:8016 -- 0.02 MB/s
山西经济与科技,http://171.118.210.23:8083/rtp/226.0.2.13:8016 -- 0.30 MB/s
山西经济与科技,http://171.124.108.149:8083/rtp/226.0.2.13:8016 -- 0.30 MB/s
山西经济与科技,http://60.220.167.247:8083/rtp/226.0.2.13:8016 -- 0.29 MB/s
山西经济与科技,http://211.90.95.177:8082/rtp/226.0.2.13:8016 -- 0.28 MB/s
山西经济与科技,http://60.220.167.83:8084/rtp/226.0.2.13:8016 -- 0.30 MB/s
山西经济与科技,http://171.124.108.149:8084/rtp/226.0.2.13:8016 -- 0.29 MB/s
山西经济与科技,http://171.120.56.175:8084/rtp/226.0.2.13:8016 -- 0.05 MB/s
山西经济与科技,http://171.117.247.141:8084/rtp/226.0.2.13:8016 -- 0.30 MB/s
山西经济与科技,http://211.90.95.177:8084/rtp/226.0.2.13:8016 -- 0.29 MB/s
山西经济与科技,http://171.120.56.175:8082/rtp/226.0.2.13:8016 -- 0.29 MB/s
山西经济与科技HD,http://118.81.199.231:8083/rtp/226.0.2.236:9800 -- 0.44 MB/s
山西经济与科技HD,http://211.90.95.177:8084/rtp/226.0.2.236:9800 -- 0.38 MB/s
山西经济与科技HD,http://60.220.167.33:8084/rtp/226.0.2.236:9800 -- 0.43 MB/s
山西经济与科技HD,http://171.117.75.115:8083/rtp/226.0.2.236:9800 -- 0.44 MB/s
山西经济与科技HD,http://171.118.210.23:8083/rtp/226.0.2.236:9800 -- 0.43 MB/s
山西经济与科技HD,http://60.220.167.33:8083/rtp/226.0.2.236:9800 -- 0.42 MB/s
山西经济与科技HD,http://60.220.167.138:8084/rtp/226.0.2.236:9800 -- 0.21 MB/s
山西经济与科技HD,http://171.120.195.48:8084/rtp/226.0.2.236:9800 -- 0.24 MB/s
山西经济与科技HD,http://183.191.209.53:8084/rtp/226.0.2.236:9800 -- 0.42 MB/s
山西经济与科技HD,http://60.220.167.83:8083/rtp/226.0.2.236:9800 -- 0.24 MB/s
山西经济与科技HD,http://171.117.75.115:8084/rtp/226.0.2.236:9800 -- 0.40 MB/s
山西经济与科技HD,http://60.220.167.138:8083/rtp/226.0.2.236:9800 -- 0.42 MB/s
山西经济与科技HD,http://61.134.214.115:8083/rtp/226.0.2.236:9800 -- 0.43 MB/s
山西经济与科技HD,http://118.81.49.137:8083/rtp/226.0.2.236:9800 -- 0.44 MB/s
山西经济与科技HD,http://183.191.209.53:8083/rtp/226.0.2.236:9800 -- 0.41 MB/s
山西经济与科技HD,http://61.134.214.115:8082/rtp/226.0.2.236:9800 -- 0.43 MB/s
山西经济与科技HD,http://221.205.18.162:8084/rtp/226.0.2.236:9800 -- 0.21 MB/s
山西经济与科技HD,http://60.220.167.247:8083/rtp/226.0.2.236:9800 -- 0.43 MB/s
山西经济与科技HD,http://211.90.95.177:8082/rtp/226.0.2.236:9800 -- 0.41 MB/s
山西经济与科技HD,http://171.118.210.23:8082/rtp/226.0.2.236:9800 -- 0.42 MB/s
山西经济与科技HD,http://171.120.195.48:8082/rtp/226.0.2.236:9800 -- 0.40 MB/s
山西经济与科技HD,http://171.124.108.149:8083/rtp/226.0.2.236:9800 -- 0.38 MB/s
山西经济与科技HD,http://183.185.175.237:8084/rtp/226.0.2.236:9800 -- 0.42 MB/s
山西经济与科技HD,http://171.124.108.149:8084/rtp/226.0.2.236:9800 -- 0.40 MB/s
山西经济与科技HD,http://183.191.227.128:8082/rtp/226.0.2.236:9800 -- 0.28 MB/s
山西经济与科技HD,http://60.220.167.247:8084/rtp/226.0.2.236:9800 -- 0.14 MB/s
山西经济与科技HD,http://118.81.49.137:8084/rtp/226.0.2.236:9800 -- 0.43 MB/s
山西经济与科技HD,http://171.120.56.175:8084/rtp/226.0.2.236:9800 -- 0.43 MB/s
山西经济与科技HD,http://183.185.64.161:8082/rtp/226.0.2.236:9800 -- 0.00 MB/s
山西经济与科技HD,http://171.117.247.141:8083/rtp/226.0.2.236:9800 -- 0.39 MB/s
山西经济与科技HD,http://171.117.247.141:8084/rtp/226.0.2.236:9800 -- 0.42 MB/s
山西经济与科技HD,http://171.117.143.232:8083/rtp/226.0.2.236:9800 -- 0.38 MB/s
山西经济与科技HD,http://60.220.167.83:8084/rtp/226.0.2.236:9800 -- 0.33 MB/s
山西经济与科技HD,http://211.90.95.177:8083/rtp/226.0.2.236:9800 -- 0.37 MB/s
山西经济与科技HD,http://171.120.56.175:8083/rtp/226.0.2.236:9800 -- 0.43 MB/s
山西经济与科技HD,http://171.118.210.23:8084/rtp/226.0.2.236:9800 -- 0.44 MB/s
山西经济与科技HD,http://61.134.214.115:8084/rtp/226.0.2.236:9800 -- 0.42 MB/s
山西经济与科技HD,http://171.120.195.48:8083/rtp/226.0.2.236:9800 -- 0.32 MB/s
山西黄河,http://171.117.75.115:8083/rtp/226.0.2.12:8008 -- 0.30 MB/s
山西黄河,http://171.120.195.48:8084/rtp/226.0.2.12:8008 -- 0.06 MB/s
山西黄河,http://60.220.167.247:8083/rtp/226.0.2.12:8008 -- 0.28 MB/s
山西黄河,http://60.220.167.33:8083/rtp/226.0.2.12:8008 -- 0.30 MB/s
山西黄河,http://60.220.167.138:8084/rtp/226.0.2.12:8008 -- 0.26 MB/s
山西黄河,http://211.90.95.177:8084/rtp/226.0.2.12:8008 -- 0.30 MB/s
山西黄河,http://183.184.60.177:8084/rtp/226.0.2.12:8008 -- 0.30 MB/s
山西黄河,http://171.120.56.175:8082/rtp/226.0.2.12:8008 -- 0.14 MB/s
山西黄河,http://171.124.108.149:8084/rtp/226.0.2.12:8008 -- 0.29 MB/s
山西黄河,http://171.120.195.48:8083/rtp/226.0.2.12:8008 -- 0.33 MB/s
山西黄河,http://183.184.60.177:8083/rtp/226.0.2.12:8008 -- 0.08 MB/s
山西黄河,http://171.118.210.23:8082/rtp/226.0.2.12:8008 -- 0.03 MB/s
山西黄河,http://221.205.18.162:8083/rtp/226.0.2.12:8008 -- 0.08 MB/s
山西黄河,http://183.191.227.128:8084/rtp/226.0.2.12:8008 -- 0.19 MB/s
山西黄河,http://211.90.95.177:8082/rtp/226.0.2.12:8008 -- 0.30 MB/s
山西黄河,http://171.117.143.232:8083/rtp/226.0.2.12:8008 -- 0.29 MB/s
山西黄河,http://171.118.210.23:8083/rtp/226.0.2.12:8008 -- 0.30 MB/s
山西黄河,http://183.185.66.46:8084/rtp/226.0.2.12:8008 -- 0.02 MB/s
山西黄河,http://171.118.210.23:8084/rtp/226.0.2.12:8008 -- 0.30 MB/s
山西黄河,http://61.134.214.115:8083/rtp/226.0.2.12:8008 -- 0.26 MB/s
山西黄河,http://61.134.214.115:8084/rtp/226.0.2.12:8008 -- 0.29 MB/s
山西黄河,http://171.120.56.175:8083/rtp/226.0.2.12:8008 -- 0.22 MB/s
山西黄河,http://171.117.74.234:8083/rtp/226.0.2.12:8008 -- 0.27 MB/s
山西黄河,http://60.220.167.33:8084/rtp/226.0.2.12:8008 -- 0.30 MB/s
山西黄河,http://61.134.214.115:8082/rtp/226.0.2.12:8008 -- 0.30 MB/s
山西黄河,http://171.117.75.115:8084/rtp/226.0.2.12:8008 -- 0.30 MB/s
山西黄河,http://60.220.167.247:8084/rtp/226.0.2.12:8008 -- 0.28 MB/s
山西黄河,http://183.191.209.53:8083/rtp/226.0.2.12:8008 -- 0.30 MB/s
山西黄河,http://118.81.49.137:8083/rtp/226.0.2.12:8008 -- 0.15 MB/s
山西黄河,http://60.220.167.83:8083/rtp/226.0.2.12:8008 -- 0.27 MB/s
山西黄河,http://118.81.49.137:8084/rtp/226.0.2.12:8008 -- 0.10 MB/s
